719,2cf,E,DCFD 719 Enc,Encrypted,Fire-Tac,Fire,1
720,2d0,E,DCFD 720 Enc,Encrypted,Fire-Tac,Fire,1
1039,40f,D,DC-16 CW-1,DC-16 MPD Citywide 1,Law Dispatch,DC Common,2
1201,4b1,D,MPD DC MIRS,Metropolitan Interoperability Radio System,Interop,Police,2
1203,4b3,D,DC-13 PMARS,DC-13 Police Mutual Aid Radio System,Interop,DC Common,2
1227,4cb,D,DCHA PD,Housing Authority Police,Law Dispatch,Police,2
1312,520,D,MPD USCP 1,Capitol Police Patch 1,Interop,Police,2
1314,522,D,MPD USCP 2,Capitol Police Patch 2,Interop,Police,2
1316,524,D,MPD DCTF1,DC Task Force 1,Law Tac,Police,2
1317,525,E,MPD DCTF SED,DC Task Force SED DES,Law Tac,Police,2
1533,5fd,D,MPD WMATA 1,WMATA Patch 1,Interop,Police,2
1535,5ff,D,MPD WMATA 2,WMATA Patch 2,Interop,Police,2
2102,836,E,DC-11 Exec1,DC-11 Executive 1 (Senior City Officials),Interop,DC Common,2
2103,837,D,DC-12 Exec2,DC-12 Executive 2 (City Officials),Interop,DC Common,2
2117,845,D,DC EMA,Emergency Management Agency,Emergency Ops,Services,3
2133,855,D,DC Sch Sec,School Security,Security,Services,3
2147,863,D,St. Eliz Sec,St. Elizabeth's Hospital - Security,Security,Services,3
2148,864,D,St. Eliz Mnt,St. Elizabeth's Hospital - Maintenance,Public Works,Services,3
2163,873,D,DC Pkg Enf,Parking Enforcement,Public Works,Services,3
2175,87f,D,DC PkgEnf T2,Parking Enforcement Tac 2,Public Works,Services,3
2177,881,D,DC PrSrvDisp,DC Protective Services Dispatch,Security,Services,3
2179,883,D,DC PrSrvTac,DC Protective Services Tac,Security,Services,3
2189,88d,T,DC WASA 1,Water and Sewer Authority 1,Public Works,Services,3
2191,88f,T,DC WASA 2,Water and Sewer Authority 2,Public Works,Services,3
2193,891,T,DC WASA 3,Water and Sewer Authority 3,Public Works,Services,3
2197,895,D,DC Lib Sec,Library Security,Security,Services,3
2213,8a5,D,DC UDC PD 1,University of the District of Columbia Police 1,Law Dispatch,Services,3
2221,8ad,D,DC-09 EMA1,DC-09 Emergency Management Agency 1,Interop,DC Common,3
2223,8af,D,DC-10 EMA2,DC-10 Emergency Management Agency 2,Interop,DC Common,3
2225,8b1,D,DC TraffMgmt,Traffic Management Center (TMC),Public Works,Services,3
2229,8b5,T,DC Para 2229,Paratransit,Transportation,Services,3
2231,8b7,T,DC Para 2231,Paratransit,Transportation,Services,3
2237,8bd,D,DC Streetcar,Streetcar Testing,Transportation,Services,3
2325,915,D,DC Sec 2325,Security (unknown agency),Security,Services,3
2327,917,D,DC UDC PD 2,University of the District of Columbia Police 2,Law Tac,Services,3
2341,925,D,DC-03 UCC 3,DC-03 Unified Comm Center 3,Interop,DC Common,3
2343,927,D,DC-04 UCC 4,DC-04 Unified Comm Center 4,Interop,DC Common,3
2353,931,D,DC-14 Spare1,DC-14 Spare 1,Interop,DC Common,3
2355,933,D,DC-15 Spare2,DC-15 Spare 2,Interop,DC Common,3
2505,9c9,D,DC Taxi Comm,Taxicab Commission,Public Works,Services,3
3747,ea3,D,DC-05 MA1,DC-05 Mutual Aid 1,Interop,DC Common,3
3748,ea4,D,DC-06 MA2,DC-06 Mutual Aid 2 (also DC Interop 1),Interop,DC Common,3
3749,ea5,D,DC MA3,Mutual Aid 3,Interop,Police,3
3750,ea6,D,DC MA4,Mutual Aid 4,Interop,Police,
11025,2b11,E,MPD 1D,1st District,Law Dispatch,Police,
11027,2b13,E,MPD 2D,2nd District,Law Dispatch,Police,
11029,2b15,E,MPD 3D,3rd District,Law Dispatch,Police,
11031,2b17,E,MPD 4D,4th District,Law Dispatch,Police,
11033,2b19,E,MPD 5D,5th District,Law Dispatch,Police,
11035,2b1b,E,MPD 6D,6th District,Law Dispatch,Police,
11037,2b1d,E,MPD 7D,7th District,Law Dispatch,Police,
11041,2b21,E,MPD SOD1 Evt,Special Operations Division 1 Event,Law Dispatch,Police,
11049,2b29,E,MPD 1D Tac,1st District Tac,Law Tac,Police,
11051,2b2b,E,MPD 2D Tac,2nd District Tac,Law Tac,Police,
11053,2b2d,E,MPD 3D Tac,3rd District Tac,Law Tac,Police,
11055,2b2f,E,MPD 4D Tac,4th District Tac,Law Tac,Police,
11057,2b31,E,MPD 5D Tac,5th District Tac,Law Tac,Police,
11059,2b33,E,MPD 6D Tac,6th District Tac,Law Tac,Police,
11061,2b35,E,MPD 7D Tac,7th District Tac,Law Tac,Police,
11115,2b6b,E,MPD FIT-OPR,Force Investigation Team/Office of Professional Responsibility,Law Tac,Police,
11117,2b6d,E,MPD OIA,Office of Internal Affairs,Law Tac,Police,
11123,2b73,E,MPD OSD 1,Office of the Superintendent of Detectives 1,Law Tac,Police,
11131,2b7b,E,MPD MND1,Major Narcotics Division 1,Law Tac,Police,
11133,2b7d,E,MPD MND2,Major Narcotics Division 2,Law Tac,Police,
11139,2b83,E,MPD EPU,Executive Protection Unit,Law Tac,Police,
11143,2b87,E,MPD SOD3 Ops,Special Operations Division 3 Ops,Law Tac,Police,
11151,2b8f,E,MPD SOD2 ERT,Special Operations Division 2 Emergency Response Team,Law Tac,Police,
11155,2b93,E,MPD SOD4 Sec,Special Operations Division 4 Secure,Law Tac,Police,
11281,2c11,E,MPD 1D Sec,1st District Secure,Law Tac,Police,
11283,2c13,E,MPD 2D Sec,2nd District Secure,Law Tac,Police,
11285,2c15,E,MPD 3D Sec,3rd District Secure,Law Tac,Police,
11287,2c17,E,MPD 4D Sec,4th District Secure,Law Tac,Police,
11289,2c19,E,MPD 5D Sec,5th District Secure,Law Tac,Police,
11291,2c1b,E,MPD 6D Sec,6th District Secure,Law Tac,Police,
11293,2c1d,E,MPD 7D Sec,7th District Secure,Law Tac,Police,
11300,2c24,E,MPD Harbor,Harbor Patrol,Law Tac,Police,
11302,2c26,E,MPD HS/CT,Homeland Security/Counter-Terrorism ,Law Tac,Police,
11321,2c39,E,MPD MPD1,MPD1,Law Tac,Police,
11323,2c3b,E,MPD MPD2,MPD2,Law Tac,Police,
11327,2c3f,E,MPD MPD3,MPD3,Law Tac,Police,
11343,2c4f,E,MPD Sr Cmd,Senior Commanders,Law Tac,Police,
11540,2d14,E,MPD 1D Ops A,1st District Ops A,Law Tac,Police,
11541,2d15,E,MPD 2D Ops A,2nd District Ops A,Law Tac,Police,
11542,2d16,E,MPD 3D Ops A,3rd District Ops A,Law Tac,Police,
11543,2d17,E,MPD 4D Ops A,4th District Ops A,Law Tac,Police,
11545,2d19,E,MPD 6D Ops A,6th District Ops A,Law Tac,Police,
11546,2d1a,E,MPD 7D Ops A,7th District Ops A,Law Tac,Police,
11554,2d22,E,MPD 5D Ops B,5th District Ops B,Law Tac,Police,
11555,2d23,E,MPD 6D Ops B,6th District Ops B,Law Tac,Police,
11560,2d28,E,MPD NSID 1,Narcotics and Special Investigations Division 1,Law Tac,Police,
11561,2d29,E,MPD NSID 2,Narcotics and Special Investigations Division 2,Law Tac,Police,
